Field=#~Integer~#~50|Field=P/N~String~P/N~135|Field=Manufacturer~String~Manufacturer~182|Field=Name~String~Name~190|Field=LibRef~String~LibRef~145|Field=Description~String~Description~438|Field=Footprint~String~Footprint~151|Field=Designator~String~Designator~1169|Field=Value~String~Value~52|Field=Voltage~String~Voltage~119|Field=Quantity~Integer~Quantity~67|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Daughter_Board.PrjPcb|ReportField=ProjectFullPath~D:\Altium_Projects\Daughter_Board\Daughter_Board.PrjPcb|ReportField=Title~Bill of Materials For Project [Daughter_Board.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~410|ReportField=ReportTime~19:22:02|ReportField=ReportDate~14.03.2019|ReportField=ReportDateTime~14.03.2019 19:22:02|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=CurrentDate~14.03.2019|ReportField=CurrentTime~19:18:53|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Altium_Projects\Daughter_Board\Digital.SchDoc|ReportField=DocumentName~Digital.SchDoc|ReportField=DocumentNumber~ПЛАС.ХХХХХХ.ХХХ ХХ|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~17.01.2019|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=False:CenterVertical=False:PrintScale=0.95:XCorrection=0.00:YCorrection=0.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=1:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=A4:PrintScaleMode=1|ReportField=ProjectName~Daughter_Board.PrjPcb|ReportField=Revision~|ReportField=Rule~Undefined|ReportField=SheetNumber~{}|ReportField=SheetTotal~{}|ReportField=Time~|ReportField=Title~{Наименование}|ReportField=DocumentType~{Документ}|ReportField=DocumentType1str~|ReportField=DocumentType2str~|ReportField=EngineerName~|ReportField=Letter1Column~{}|ReportField=Letter2Column~{}|ReportField=Letter3Column~{}|ReportField=Mass~{М.}|ReportField=NormInspection~{Н.контр.}|ReportField=ProcessInspection~{Т.контр.}|ReportField=Scale~{Мш.}|ReportField=Title1str~|ReportField=Title2str~|ReportField=DataSourceFileName~Daughter_Board.PrjPcb|ReportField=DataSourceFullPath~D:\Altium_Projects\Daughter_Board\Daughter_Board.PrjPcb
1||||Test  Point||Control Point|K3, K4|||2
66|ERJ-2RKF4022X|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R15|40.2k||1
67|ERJ-2RKF4320X|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R11, R12, R40, R41, R49, R50|432||6
68|ERJ-2RKF4993X|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R80|499k||1
69|ERJ-2RKF6813X|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R74|681k||1
70|ERJ-2RKF7152X|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R73|71.5k||1
71|ERJ-2RKF7323X|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R72|732k||1
72|ERJ-2RKF8062X|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R76|732k||1
73|ERJ-2RKF8873X|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R78|887k||1
74|ERJ-3EKF15R0V||Chip SMD Resistor|RES|SMD Resistor|R0603|R52, R53, R54, R55|15||4
75|ERJ-3EKF2372V|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0603|R75|23.7k||1
76|ERJ-6ENF18R7V|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0805|R46, R47|18.7||2
77|ERJ-PB3D3320V|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0603|R10, R28, R43, R45|332||4
78|none|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R13|none||1
79|GRM1555C1H3R0WA01D||Distributed high pass filter|HPF_750MHz|High Pass Filter|HPF_750_305um|Z5|||1
80|G3VM-61GR1|Omron|G3VM-61GR1|G3VM-61GR1|MOS FET Relay|G3VM-61|K1, K2||60V|2
81|HMC311LP3E|Analog Devices|HMC311LP3|HMC311LP3|InGaP HBT GAIN BLOCK|QFN-16 v2|D26, D28|||2
82|HMC637BPM5E|Analog Devices|HMC637BPM5E|HMC637BPM5E|1 W Power Amplifier|LFCSP-32|D29||12 V at 345 mA typical|1
83|LDPG-212-322+|Mini-Circuits|LDPG-212-322+|LDPG-212-322+|Diplexer|GE0805C-10|Z2, Z9|||2
84|LDPW-162-242+|Mini-Circuits|LDPW-162-242+|LDPW-162-242+|Diplexer|JC0603C|Z1, Z8|||2
85|LFCG-92+|Mini-Circuits|LFCG-92+|LFCG-92+|Low Pass Filter|GE0805C-2|Z4, Z7, Z10, Z11|||4
86|LM27761DSGT|Texas Instruments|LM27761|LM27761|Low-Noise, Regulated, Switched-Capacitor Voltage Inverter|WSON-8|D41||2.7 V to 5.5|1
87|LP5912-3.3DRVT|Texas Instruments|LP5912-3.3DRVT|LP5912|LP5912 500-mA Low-Noise, Low-IQ LDO|WSON-6|D35, D36||3.3V|2
88|LP5912-5.0DRVT|Texas Instruments|LP5912-5.0DRVT|LP5912|LP5912 500-mA Low-Noise, Low-IQ LDO|WSON-6|D32, D33, D37, D38, D39, D40, D42||5.0V|7
89|LQG15HS18NJ02D|Murata|LQG15H|Inductor RF|Chip SMD Inductor|L0402|L7|18nH||1
90|LTC5594IUH#PBF|Analog Devices|LTC5594|LTC5594|Quadrature Demodulator|QFN-32|D14|||1
91|LTC6946IUFD-4#PBF|Linear Technology|LTC6946-4|LTC6946|The LTC®6946 is a high performance, low noise, 6.39GHz  phase-locked loop (PLL)|QFN-28|D12, D15, D23, D24||3.15 V ~ 5.25 V|4
92|39-28-1023|Molex|Mini-Fit Jr. Vertical Header|Mini-Fit Jr. Vertical Header|4.20mm Pitch, Dual Row, 2 Circuits, without Snap-in Plastic Peg PCB Lock|Mini-Fit Jr. Vertical Header|XC1|||1
93|105309-1202|Molex|Nano-Fit Vertical Header|Nano-Fit Power Connector|Through Hole, 2.50mm Pitch, Single Row, 2 Circuits|Nano-Fit Vertical Header|XC2|||1
94|PE42553A-Z|Peregrine Technical Solutions|PE42553|PE42553|HaRPTM technology-enhanced absorptive SPDT|QFN-16|D1, D3, D4, D10, D16, D17, D19|||7
95|PE42562A-X|Peregrine Technical Solutions|PE42562|PE42562|The PE42582 is a HaRP™ technology-enhanced absorptive SP6T RF switch|QFN-24|D5, D21, D25|||3
96|PE43711A-Z|Peregrine Technical Solutions|PE43711|PE43711|The PE43711 is a 50Ω, HaRP™ technology-enhanced, 7-bit RF digital step attenuator|QFN-24|D6, D9, D27|||3
97|PHA-13LN+|Mini-Circuits|PHA-13LN+|PHA-13LN+|Monolithic Amplifier|SOT89|D7||3 to 5 V|1
98|PMA3-83LN+|Mini-Circuits|PMA3-83LN+|PMA3-83LN+|Low Noise Amplifier|DQ1225|D8, D11|||2
99|SIM-43MH+|Mini-Circuits|SIM-43MH+|SIM-43MH+|Frequency Mixer|SIM-43MH+|D2, D18|||2
100|0732511352|Molex|SMA Jack|RF Connector|50 Ohms, SMA Jack, Vertica|MOLEX SD-73251-135 (Gold)|XW1, XW2, XW3|||3
101|TC2-1TX+|Mini-Circuits|TC2-1TX+|TC2-1TX+|RF Transformer|AT1521|T2, T3, T5, T6|||4
102|TCM2-452X-2+|Mini-Circuits|TCM2-452X-2+|TCM2-452X-2+|RF Transformer|DB1627|T1, T4|||2
103|TPS611781RNW|Texas Instruments|TPS611781|TPS611781|10-A Fully-Integrated Synchronous Boost with Load Disconnect Control|TPS611781x|D34||4.5 V to 20 V|1
104||Coilcraft|XEL4020-222MEB|Inductor PWR|Magnetic-Core Inductor|XAL4020|L38, L39|2.2uH||2
105||Coilcraft|XEL4030-472MEB|Inductor PWR|Magnetic-Core Inductor|XAL4030|L37|4.7uH||1
106|XFL3012-682ME|Coilcraft|XFL3012-682ME|Inductor|Chip SMD Inductor|XFL3012|L1, L35, L36, L42|6.8uH||4
